Название файла: _itartass1.xhtml	 Автор: Латышев Сергей	 Тематика текста: спорт
Название файла: _itartass2.xhtml	 Автор: Бычков Андрей	 Тематика текста: политика и общественная жизнь
Название файла: _itartass3.xhtml	 Автор: Останин Сергей	 Тематика текста: политика и общественная жизнь
Название файла: _itartass4.xhtml	 Автор: Ходий Владимир	 Тематика текста: искусство и культура
Название файла: _itartass5.xhtml	 Автор: Зайцев Борис	 Тематика текста: спорт
Название файла: _rbk2.xhtml	 Автор: неизвестный	 Тематика текста: политика и общественная жизнь
Название файла: _rbk3.xhtml	 Автор: неизвестный	 Тематика текста: бизнес, коммерция, экономика, финансы
Название файла: _rbk4.xhtml	 Автор: неизвестный	 Тематика текста: политика и общественная жизнь
Название файла: _rbk6.xhtml	 Автор: неизвестный	 Тематика текста: бизнес, коммерция, экономика, финансы
Название файла: _rbk7.xhtml	 Автор: неизвестный	 Тематика текста: криминал
Название файла: _rian1.xhtml	 Автор: Смотров Александр	 Тематика текста: искусство и культура
Название файла: _rian2.xhtml	 Автор: неизвестный	 Тематика текста: искусство и культура
Название файла: _rian3.xhtml	 Автор: неизвестный	 Тематика текста: криминал
Название файла: _rian5.xhtml	 Автор: неизвестный	 Тематика текста: политика и общественная жизнь
